,Unnamed: 0.1,Unnamed: 0,reviews,new_reviews,Positive,Negative,Neutral,Compound,Sentiment
44,44,44,"
Bag was safely packaged,Bag is as same as it is shown in the image.Bag quality is very nice, 4 compartments, & a bottle holder.Belt quality is good,Specially it is light weight with tough durability, thats best for traveling purposes.Also it is water resistant like sprinkling rain couldn't affect it at all.But normal rain and heavy rain might get in.All over as a backpack its compartment are quite spacious.
",bag safely packagedbag show imagebag quality nice 4 compartment bottle holderbelt quality goodspecially light weight tough durability that s good travel purposesalso water resistant like sprinkle rain could not affect allbut normal rain heavy rain might get inall backpack compartment quite spacious,0.238,0.031,0.731,0.872,0
45,45,45,"
Looks good as shown. After one week of taking it to school, stitch near zipper has opened up. :(
",look good show one week take school stitch near zipper open,0.225,0.0,0.775,0.4404,0
46,46,46,"
Bag started tearing within 2 weeks of usage.  Had taken for my kid for class 3. Books plus lunch box is less than 3 kgs. Outside water bottle pocket could not handle 750 ml water bottle and is completely torn on both sides. Complete wastage of your money.  I bought after reading review and americian tourister brand but in vain!
",bag start tear within 2 week usage take kid class 3 book plus lunch box less 3 kgs outside water bottle pocket could handle 750 ml water bottle completely tear side complete wastage money buy read review americian tourister brand vain,0.0,0.07,0.93,-0.4215,1
47,47,47,"
Received it on the very next day of ordering. The bag came well packed and in perfect condition. It looks very classy. Its original American Tourister bag with a warranty card. Its light weight and looks sturdy. Stitches and all were perfect when received. I am yet to use it, will update the review after few months of using it.
",receive next day order bag come well pack perfect condition look classy original american tourister bag warranty card light weight look sturdy stitch perfect receive yet use update review month use,0.361,0.0,0.639,0.9287,0
48,48,48,"
While cost is considered I bought it really cheap less than 900 or 800 ,I don't remember , and with respect to price it can be accept but in not a product which you can see the quality also you cant carry a lot of items it as it may not handle it for regular use just to go to college you an use but if you in school not recommended for you as you need to carry a lot of things.It is light weight w.r.t its size also not recommended to carry laptop as the cloth it is make up of is very delicate and wont provide any kind of paddingThere are a lot of pockets in the first compartment which you will be of a great useIf you are thinking to buy this bag I would recommend you to put a little more amount of money and buy a better oneThis one is sold in market because in has a logo of american tuorister nothing more than that
",cost consider buy really cheap less 900 800 do not remember respect price accept product see quality also can not carry lot item may handle regular use go college use school recommend need carry lot thingsit light weight wrt size also recommend carry laptop cloth make delicate will not provide kind paddingthere lot pocket first compartment great useif thinking buy bag would recommend put little amount money buy well onethis one sell market logo american tuorister nothing,0.193,0.059,0.749,0.8798,0
49,49,49,"




                    The media could not be loaded.
                



 Spacious, three compartments, side pockets for bottles. Worth your money. Cloth quality is medium
",medium could load spacious three compartment side pocket bottle worth money cloth quality medium,0.128,0.0,0.872,0.2263,0
50,50,50,"
I WANT TO EXCHANGE that item because it tore fully i go to for travelling with that bag and i store light weight things in it like chips water bottle and snacks. I come to my house after 5,6 days so i see this the bsg was tore inside and under it . So i want to exchange this you give me a world wide warranty of it of one(1) year. So sir plz exchange that item i will buy on 15 april 2019
",want exchange item tear fully go travel bag store light weight thing like chip water bottle snack come house 56 day see bsg tear inside want exchange give world wide warranty one1 year sir plz exchange item buy 15 april 2019,0.147,0.0,0.853,0.5267,0
51,51,51,"
It is a good bag light weight and the stickers will not fade I am using it for 6 months. honest review the bag is good for that price so much spaces inside the bag I am using it every day the packaging is very good I love this bag nice design. And the stitches are very tough good product from American Tourister.I had not faced any problems while using this bag till now. The bag is not water resistant. Value for money
",good bag light weight sticker fade use 6 month honest review bag good price much space inside bag use every day package good love bag nice design stitch tough good product american touristeri face problem use bag till bag water resistant value money,0.402,0.069,0.529,0.9643,0
52,52,52,"
I had bought this product by seeing it's review,but reality is different. This product is actually imported from China,Its really expensive due to its import duty.I am using it from last 6 months.Its quality is not in accordance with its price.It gets torned within few days of using it.Since the product is under warranty ,I tried to connect call center number mentioned in warranty card but the number was wrong.Then I decided to go in service center but they denied to repair.Please do not waste your money to buy this product.Better you go with other products which is Made in India Only.
",buy product see reviewbut reality different product actually import chinait really expensive due import dutyi use last 6 monthsit quality accordance priceit get torne within day use itsince product warranty try connect call center number mention warranty card number wrongthen decide go service center deny repairplease waste money buy productbetter go product make india,0.046,0.092,0.863,-0.5574,1
53,53,53,"
The colour is not as bright as shown in the images its very fade,the straps have very less cushioning and the bag material also feels cheap, padding is not adequate you can find better quality bags than this in your nearest store,dont go fot it.
",colour bright show image fadethe strap less cushion bag material also feel cheap padding adequate find well quality bag nearest storedont go fot,0.257,0.0,0.743,0.7096,0
54,54,54,"
This is just 4-500 rs bag or better to say the 2nd copy of the American Tourister. The overall quality is the lowest - doesn't match from an inch of original A.T products. I am returning this product just after 30 minutes of receiving.
",4500 rs bag well say 2nd copy american tourister overall quality low do not match inch original product return product 30 minute receive,0.08,0.155,0.764,-0.2411,1
55,55,55,"
I looks wonderful in pics but worst in original when you receive it. It looks like you had purchased a copy from some delhi markets at cost of 300-400 rs. You cant believe it is American Tourister Bag. Amazon must verify the Quality is it American Tourister ?
",look wonderful pic bad original receive look like purchase copy delhi market cost 300400 rs can not believe american tourister bag amazon must verify quality american tourister,0.286,0.098,0.616,0.6908,0
56,56,56,"
Ordered this for my niece who is in class 9, she liked it as it can fit all her stuff and is easy to carry. All the zips and pockets are still working without any issue after 4 months. But now it's not being used very much  as all the schools are shut indefinitely.  But the bag is good , there is no issue that we faced.
",order niece class 9 like fit stuff easy carry zips pocket still work without issue 4 month use much school shut indefinitely bag good issue face,0.351,0.0,0.649,0.8689,0
57,57,57,"
Good quality best product fast delivery and made with best quality of material and awesome size good colour best zip many pockets
",good quality good product fast delivery make good quality material awesome size good colour good zip many pocket,0.608,0.0,0.392,0.9559,0
58,58,58,"
This product is good. But it does have many flaws. First of all the Sticthing is not upto the mark. Secondly it doesn't have a laptop carrying space( it is mentioned in the specs also). Thirdly the material which is used is not that good especially the interior spaces.The good part is it is very much light weighed. Abundance of space for a bag of this size. For 850₹ this bag is ok. First look is stylish.
",product good many flaw first sticthe upto mark secondly do not laptop carry space mention spec also thirdly material use good especially interior spacesthe good part much light weigh abundance space bag size 850 bag ok first look stylish,0.237,0.0,0.763,0.872,0
59,59,59,"
Dear friend , I ordered this bag and now I fully satisfy with its quality and space in it. And delivery was too good. I purchase it 918 rs and after I got some another discount so effective price is 780 rs. So if u want buy this bag so u can purchase it.
",dear friend order bag fully satisfy quality space delivery good purchase 918 rs get another discount effective price 780 rs u want buy bag u purchase,0.477,0.0,0.523,0.9371,0
60,60,60,"
American Tourister is encashing their brand image to sell poor quality products online. A tear has developed in the bag. I can clearly see that it is because of the poor material that was used for the ""bottom base"" of the bag. Ihave used the bag moderately for 3-4 months with approx 2 kgs of weight in it (no sharp edges, mostly water bottle and 1-2 notebooks). I doubt that, if the same bag was used by children to carry their school books, it wouldn't be difficult to assume that it could last even a month. Also American Tourister's customer support is not responsive, they don't even bother to reply to e-mails.Update: American Tourister did respond in the second attempt and agreed to replace the item. However it's actually a greater headache to go to the service center and have the bag replaced than to buy a new bags keeping the COVID in mind.
",american tourister encashe brand image sell poor quality product online tear develop bag clearly see poor material use bottom base bag ihave use bag moderately 34 month approx 2 kgs weight sharp edge mostly water bottle 12 notebook doubt bag use child carry school book would not difficult assume could last even month also american tourister customer support responsive do not even bother reply emailsupdate american tourister respond second attempt agree replace item however actually great headache go service center bag replace buy new bag keep covid mind,0.179,0.083,0.738,0.8379,0
61,61,61,"
The bag is good, large but the colour is not as dark as shown in image of the bag also it just torned in one month... I also didn't received the warranty card... I think its duplicate American tourister
",bag good large colour dark show image bag also torne one month also do not receive warranty card think duplicate american tourister,0.121,0.0,0.879,0.4404,0
62,62,62,"
STITCHING IS NOT GOOD. CLOTH ALSO NOT GOOD.WITHIN ONE MONTH TEAR BOTTOM SIDE
",stitch good cloth also goodwithin one month tear bottom side,0.244,0.0,0.756,0.4404,0
63,63,63,"




                    The media could not be loaded.
                



 It been approx 8 to 9 months since I purchased this beauty bags and I not found any kind of defects in daily uses except the base material used in this bag is not good quality and one more thing is bag's side pocket or bottle handle's elastic is not that great.Thank you
",medium could load approx 8 9 month since purchase beauty bag find kind defect daily use except base material use bag good quality one thing bag side pocket bottle handle elastic greatthank,0.262,0.062,0.675,0.8271,0
64,64,64,"
Writing tjis review after using this product for some weeksFirst i have to say one thing that this is absolute worth for moneyIts water resistant and they are also  providing a rain coat with itIt's user friendly bcz its light weiaght and have enough space for keeping the things inIt's perfect for school, office, and travel purposesMy younger brother is also using this productIt's absolutely perfect for any purposes and for all age group
",write tjis review use product weeksfirst say one thing absolute worth moneyit water resistant also provide rain coat itit user friendly bcz light weiaght enough space keep thing init perfect school office travel purposesmy young brother also use productit absolutely perfect purpose age group,0.238,0.0,0.762,0.91,0
65,65,65,"
This bag is not what is made to look like in ads. They are selling very cheap bags by showing virat's face. Bag is not at all over 500 rupees. I usually give good stars to most items but this time I can't lie knowingly.
",bag make look like ad sell cheap bag show virat face bag 500 rupee usually give good star item time can not lie knowingly,0.197,0.0,0.803,0.6597,0
66,66,66,"
Bag is good and spacious. It has 3 large compartments with bottle holder on either side and a bunch of pockets inside front compartment for stuffs like earphones.The only downside is that the fabric feels a bit cheap and there is no laptop compartment.
",bag good spacious 3 large compartment bottle holder either side bunch pocket inside front compartment stuff like earphonesthe downside fabric feel bit cheap laptop compartment,0.19,0.07,0.739,0.5267,0
67,67,67,"
Very stylish back pack from American tourister. It is big enough for high school, college students and adults. Only minus point I found is lack of rain cover. Almost all american tourister backpacks comes with rain cover. That is missing here. Everything else is good
",stylish back pack american tourister big enough high school college student adult minus point find lack rain cover almost american tourister backpack come rain cover miss everything else good,0.088,0.119,0.793,0.0,0
68,68,68,"
The bag is good. I just received the product so can’t say abt the durability but its AMT so hope it will be durable. In both the pics of amazon & mine u can see that the print on the front side of bag is bright orange but in real eyes they appear dull mostly like reddish orange. To be exact like the colour of brick. Otherwise everything is awesome.
",bag good receive product can not say abt durability amt hope durable pic amazon mine u see print front side bag bright orange real eye appear dull mostly like reddish orange exact like colour brick otherwise everything awesome,0.381,0.053,0.566,0.9413,0
69,69,69,"
The product is superb with light weight.the only thing is missing is the key chain which is being provided by the brand. And the warranty card seller stamping is not done.
",product superb light weightthe thing miss key chain provide brand warranty card seller stamp do,0.219,0.086,0.695,0.5423,0
70,70,70,"
It's not worthy, first of all it's expired model means it's not latest and second this is, if someone want latest model bag then I'll suggest to them go-to mall because mall gives 50percent discount , last I visited at mall and the latest model bag cost wast 1500 hundreds only /-
",worthy first expired model mean late second someone want late model bag ill suggest goto mall mall give 50percent discount last visit mall late model bag cost wast 1500 hundred,0.124,0.082,0.794,0.1027,0
71,71,71,"
Product quality is poor. net has torn and bag material is poor. It seems duplicate American touristor product. Last year I bought American touristor bag from shop and quality was superb. This time I bought it from Amazon and it's poor quality
",product quality poor net tear bag material poor seem duplicate american touristor product last year buy american touristor bag shop quality superb time buy amazon poor quality,0.156,0.251,0.593,-0.5423,1
72,72,72,"
It's looks like a duplicate product. Very poor stitching quality like a road side bag. I don't expect from Amazon.
",look like duplicate product poor stitch quality like road side bag do not expect amazon,0.243,0.224,0.534,0.0982,0
73,73,73,"
I got this product on 699 only in lightening deal, and this is worthy for it, if there is more price now then its not worth for money, whatever its. Material quality is quite good in back side and some how depressed in front side, but carriet stripes are so strong.  If it comes with 700 to 1000 go for it. You know quality in between the brand.
",get product 699 lighten deal worthy price worth money whatever material quality quite good back side depressed front side carriet stripe strong come 700 1000 go know quality brand,0.293,0.086,0.622,0.7902,0
74,74,74,"
I am so dissapointed seeing the product. Something that looks so good on the site can turn out into something so hideous...thats strange. The quality of the bag is just like polythene. Also, looks so worn out and old. No doubt I'm gonna return this. But thats another trouble...the return policy for this product is too complicated. Be ware before ordering this.
",dissapointe see product something look good site turn something hideousthat strange quality bag like polythene also look worn old doubt I m go to return that s another troublethe return policy product complicate ware order,0.139,0.167,0.694,-0.0258,0
75,75,75,"
The bag is very light weight and its looks so cool. At the first sight i think its cant carry much weight but after that i put 15 kg weight and hang it for 2-3 hours and the bag easily passed that test. And due to this pandemic situation i cant travel with this bag but i think it may pass the extreme travel condition. Nothing say about water resistance.  But at last im pleased with the product.
",bag light weight look cool first sight think can not carry much weight put 15 kg weight hang 23 hour bag easily pass test due pandemic situation can not travel bag think may pass extreme travel condition nothing say water resistance last I m pleased product,0.156,0.0,0.844,0.765,0
76,76,76,"
Looks good on images when the product arrived was.very dissatisfied as this is a first copy item not the original. Padding in the bags were poor and stick was imperfect. This can't be a original American touristed.
",look good image product arrive wasvery dissatisfied first copy item original padding bag poor stick imperfect can not original american touriste,0.246,0.262,0.492,-0.128,1
77,77,77,"
very good purchase at rs 959.. good quality and same as shown in the pic.. go for it!!
",good purchase rs 959 good quality show pic go,0.453,0.0,0.547,0.7003,0
78,78,78,"
American Tourister anytime! It never fails. Super cool looking, nice graphics and sturdy bag. Yet to take out for travel, will edit review but at first sight, it's pure love. Worth every penny! Got it for 999/- 32 Litres
",american tourister anytime never fail super cool look nice graphic sturdy bag yet take travel edit review first sight pure love worth every penny get 999 32 litre,0.302,0.131,0.566,0.7678,0
79,79,79,"
Four package partitions, two bottles carrier, water resistant & light weight. Nice look, Colors & cool design.Negative points: Looking to the price, material seems very thin & getting wrinkles most often. That could make you feel ashamed in public. No arrangement partition for laptop.Overall good product, from American Tourister (hopefully)
",four package partition two bottle carrier water resistant light weight nice look color cool designnegative point look price material seem thin get wrinkle often could make feel ashamed public arrangement partition laptopoverall good product american tourister hopefully,0.234,0.068,0.699,0.765,0
