,reviews
23,"
Loved the bag just the colour of chains I did not notice earlier it is white instead of green as shown in picture but in video it's green only
"
24,"
Product is good according to the price but laptop space could've been added
"
25,"
Good1
"
26,"
Awesome
"
27,"
What an amazing bag it is quite big and comfortable color is shining⭐✨
"
28,"
Cash worth.
"
29,"
Cost effective product with sturdy and good quality material
"
30,"
This product made in Bangladesh
"
31,"
That's amazing bga
"
32,"
Good
"
33,"
Best prices
"
34,"
The quality is awesome 😎
"
35,"
Quality of bag is very goodSuitable for college students
"
36,"
Products very nice I like it prise also not high... Worthy product...
"
37,"
Value of money 💰
"
38,"
I like this because1. This is water proof2. Stonger one for every day use3. Colour & design is good4. packing and delivery was good5. Branded with 1 year warranty.
"
39,"
ACCORDING TO THE PRICE ITS REALLY NICE
"
40,"
One of the standout features of the Sky Bag is its ample storage capacity. The various compartments and pockets allow for easy organization of my belongings. I particularly appreciate the dedicated laptop sleeve, which provides extra protection for my tech gadgets. Moreover, the multiple external pockets are incredibly handy for storing items I need quick access to, such as my passport, water bottle, and snacks.
"
41,"
Its a good product❤
"
42,"
Decent quality for the money..
"
43,"
Bag was quite short than what i expected. It's good for school students not college student
"
44,"
Good quality, but small size than shown in images
"
45,"
Product is good but not same Amazon website pic .
"
46,"
The look is nice , there is ample space , perfect for college students
"
47,
48,"
Gud
"
49,"




                    The media could not be loaded.
                



I like the Quality Skybags provide always in his products...The bag is very nice light weight and superb Quality comfort
"
50,"
Nice product
"
51,"
Good
"
52,"
Good 👍
"
53,"
Nice high quality
"
54,"
Excellent quality bag
"
55,"
Nice
"
56,"
Very good super bagThanks Amazon
"
57,"
Value for money
"
58,"
Good
"
59,"
Good quality and durability. I like the bag. Absolutely worth 700/-
"
60,"
Comfortable.Liked it
"
61,"
Nice
"
62,"
Bottle ke liye right side hona chahiye,Jyada jagah nahi isme, ek hi main wala partition hai
"
63,"
Good
"
64,"
Awesome quality
"
65,"
value for money
"
66,"
Gave this to my kid for school usage. Would have given 5 stars had this has water resistance or attached a cover for rain. Except that glitch, it's good bag for a school boy to carry his books everyday.
"
67,"
Expected big space but not in of
"
68,"
It's original and nice one. You can buy too
"
69,"
Appearance was the best and quality was also quite good. It was great at this price...
"
70,"
good product
"
71,"
At this price, skybag wasn’t expected
"
72,"
One chain of bag is not smooth. And always came sound like plastic bag from first layer of bag.
"
73,"
The bag is very spacious very good and obviously value for money and a must buy if looking for a bag.
"
74,"
The white colour is anti-yellowing Fail. Also, fabric is not up to the mark.
"
75,"
I am using this bag for my school purpose..bag is excellent
"
76,"




                    The media could not be loaded.
                



It is good for college students but would not prefer for school as it has only three compartments but for me it is value for money
"
77,"
I am happy I n your products
"
78,"
Good for school goin kid
"
79,"
Quality-wise good product…
"
80,"
Good quality
"
81,"
I Bough this bag below 500 in Great Indian Festival it's OK.
"
82,"




                    The media could not be loaded.
                



Good material of bag
"
83,"
Long lasting and attractive
"
84,"
I like this product it's light weight,it handles heavy luggages
"
85,"
आकार छोटा
"
86,"
This price of point of view is best bagAmazon delivery is very fastThank you Amazon and Skybags
"
87,"
It's a stylish bag, and u can use it for college and school
"
88,"
Good
"
89,"
Nyc bag under 500rs
"
90,"
nice
"
91,"
Everything about this bag is good....except chains..sometimes stuck in
"
92,"
Good quality 👌
"
93,"
Very good bag for school and college.
"
94,"
I like it
"
95,"




                    The media could not be loaded.
                



Nice product.
"
96,"
Real skybags product and it is nice...
"
97,"
Good product.
"
98,"
Very satisfied with the product in this price range🔥 Skybags!
"
99,"
👌
"
100,"
Low price me bahut achha bag hai,, market se achha or brand valu..
"
101,"
Really great 👍 Product
"
102,"
No doubt this is a very good quality bag, but the size is little bit small, no padded handle is present on the top portion of the bag.
"
103,"
Go for it without thinking
"
104,"
This is the best product under budget. The most important thing is quality is superb b but the size is little....... little bit small. This is the perfect pack for the school or college children.Ye bhut acha hai..... agr thora saman hai to ye lene m thik hai lekin jyada nhi le ja paiyega
"
105,"
It is so nice to use and it is waterproof
"
106,"
In this range it is very good and comfortable
"
107,"
Good quality
"
108,
109,"
But wish it atleast had one inside compartment
"
110,"
Very well packaging and good bag and also great quality of bag I appreciate to safari and amazon to deliver my all orders like this
"
111,"
It's easily torn outside
"
112,"
Bag has original branding.And in quality wise the bag is good. And worth to the price.
"
113,"
After looking the quality of the bag i found that the product is fake or copy
"
114,"
It was the perfect size for 35ltrs , and the design is really good
"
115,"
Not comfortable
"
116,"
A good and sleek knapsack bag. Very useful and appears to be durable. It's worth buying.
"
117,"
Only one thing is wrong that is there is no vompartment in it like for pen,books,phone only there are different chambers else the quality of bag very goodI am using this from 6 months and there is nothing changes in it . I thought colour can be shade after washing but there is no such issuesThanks amazon
"
118,"
high pricegreat deliveryworth of it!
"
119,"
good
"
120,"
Very well packaging and good bag and also great quality of bag I appreciate to safari and amazon to deliver my all orders like this
"
121,"
It's easily torn outside
"
122,"
Bag has original branding.And in quality wise the bag is good. And worth to the price.
"
123,"
After looking the quality of the bag i found that the product is fake or copy
"
124,"
It was the perfect size for 35ltrs , and the design is really good
"
125,"
Not comfortable
"
126,"
A good and sleek knapsack bag. Very useful and appears to be durable. It's worth buying.
"
127,"
Only one thing is wrong that is there is no vompartment in it like for pen,books,phone only there are different chambers else the quality of bag very goodI am using this from 6 months and there is nothing changes in it . I thought colour can be shade after washing but there is no such issuesThanks amazon
"
128,"
high pricegreat deliveryworth of it!
"
129,"
good
"
130,"
Awesome,good quality,
"
131,"
Very good quality of bag..The size is too good,
"
132,"
Looking nice. The size of the bag is 35L as per description but the bag does not look like 35L size. Other Companies' bag of this size are larger than this.
"
133,"
Good quality product
"
134,"
Nice product
"
135,"
Really disappointed with the packing they just wrap da bag in a plastic cover and send through courier with just a Amazon sticker. Bag is of good quality that's only good thing about it. That's why gave 4 rating.
"
136,"
Super product
"
137,"
Good quality, durable material, good design and colour
"
138,"
It is value for money. NEED TO IMPROVE PAKAGING. Good quality zippersGood in appearance.
"
139,"
It's good and spacious. Worth the money paid for the material
"
140,"
Ultimate
"
141,"
Quality of bag is good , light weight , it look like a durable product . Moreover the geometric design are looking very nice and it is permanent design inside thread not sticker type which usually get removed after using for long . overall it's a high quality bagpack.
"
142,"




                    The media could not be loaded.
                



Very good product . Big space.
"
143,"
Product quality was good
"
144,"
Good quality
"
145,"
It is amazing for daily use
"
146,"
It's so good must buy💚
"
147,"
True Value for Money. Very basic , classy and elegant in appearance. Appropriate size for school children in 35L varient
"
148,"
No laptop compartment
"
149,"
It is a really good product. I've been using it for over 3 months now and it is really durable and good quality.It's no waste of money and I really like it
"
150,"
Useable
"
151,"
This product is very good & best choice for traveling & weight lift & quality is also best then this product cost Is low whenever this cost compared this product is best
"
152,"
As usual safariGreat qualityValue for money
"
153,"
Good product
"
154,"
Bag is overall very good but the chain is getting stuck in some place from the date it is been delivered. I request the dealer please make shure of a good and nice condition bag to the customer.
"
155,"
I wanted to use bag as schoo bag for my son. It looks very light and not suitable for use as school bag carrying heavy books and may not last more than a week.
"
156,"
Laptop pocket is not available
"
157,"
Definitely not a good quality...Think Before Purchase. Got torned from inside within 2 months only.
"
158,"
Very nice for daily use and Also for Travel
"
159,"
Poor quality
"
160,"
Okay okay
"
161,"
SUPER
"
162,"
Inner stich for 2nd compartment opened up after 10 days of use.
"
163,"
Yess the bag was outstanding but the chain having batches are very loose although the bag was awesome!! Thank you Amazon!!!!
"
164,"
As expected
"
165,"
Very light. Good. Not sure how long it will last. But looks and feels OK.
"
166,"
The side pocket tore in just a few weeks of using.
"
167,"
Very good product for used.👍👍
"
168,"
very good quality product. No nonsense product. Perfect for 4/5 days trips :)
"
169,"
No proper compartment in the given price range
"
170,"
good
"
171,"
Zip and material could be smoother and softer respectively
"
172,"
It's very good bag⭐⭐⭐⭐⭐
"
173,"
Chains are so smooth with also overall stylish looks .. a good one from safari
"
174,"
Nice one in this range...Good for travelling partner 👍
"
175,
176,"
Since it is rather long/tall, it loses some practicability as a school bag.
"
177,"
Zip and lock already damage
"
178,"




                    The media could not be loaded.
                


"
179,"
Quality and look is good! 👍 ideal for short term travel/ office use.
"
180,"
any company warranty card not attached and how can I know that it is a true branded product at all.
"
181,"
Zip are not good
"
182,"
Faltu product
"
183,"
Used it for a week, observed the material near the stitch is comyout and looks shredded. Wastage of money like Chinese cheap quality products
"
184,"
Poor stiching quality.
"
185,"
Size spaces issue that’s why I want return . I already proceed for return but it’s auto cancel and now show me the window close for return that’s wrong thing
"
186,"
Good quality
"
187,"
👌
"
188,"
I am in fear of the bag get tared because the bag look so beautiful but the was light and carring less weight
"
189,"
Good product
"
190,"
This is Made not made in India product.
"
191,"
Love the product
"
192,"
Good but the bag's chain broke....
"
193,"
Good to use. Looks good as a pro.No laptop for this bag
"
194,"
Like it.
"
195,"
dislike
"
196,"
Beautiful
"
197,"
it is good for a student to use this bag fathers but this bag
"
198,
199,"
Looks goodBut quality not ok
"
200,"
good bag to carry long books and other stuffs. happy with the purchase
"
201,"
कोई कमी नही हर मौसम में शानदार
"
202,"
So nice beg my kid is so happy because of the lightness
"
203,"
Been using it for 3 months now and its great.The zip quality is also nice , good storage as there are spacious compartments.Worth buying.
"
204,"
Zip quality is very very poor
"
205,"
Product cloth quality not good
"
206,"
Its fine..
"
207,
208,"
Bought this for my 14 yo son as his school bag. Rugged build quality gives assurance of long life. Best buy at this price
"
209,"
The bag was super light weight and has chains which are very spacious and comfortableAbsolutely loved the experience 💯
"
210,
211,"
Value for MoneyLight Weight
"
212,"
good
"
213,"
awesome
"
214,"
Nice product I really like it
"
215,"
Amazing 😍
"
216,"
Quality of the product is very good
"
217,"
worth it
"
218,"
Good
"
219,"




                    The media could not be loaded.
                



Very very poor quality
"
220,"
Big bag. Comfortable too. Comes with a free pouch and rain cover. Cool printing!!
"
221,"
Good quality material and finishing. The bag is very spacious.
"
222,"
The zippers are very good and smooth. The big quality is also decent and satisfactory. The bag is spacious and suitable for Primary and upper Primary school children in India. Go for it without any second thought.
"
223,"
The color, quality, material is awesome. Got a pouch with this. Waterproof also
"
224,"
Material used at the bottom of the bag is very bad, 2 nd class kid used this bag with minimum weight of the books, but it got teared in just 2 months, cloth used inside of the pocket also very flimsy. Waste of money.
"
225,"
This is the most awesome bag one can buy for a kid. It is light, cool and useful. My kid totally loved it and so did I..:)
"
226,"
Nice product, totally worth it...
"
227,"
Good for school and built to last. The size is decent and able fill all of my kids books and note book. Rain was a surprise element. Loved it and recommend for all.
"
228,"
Good
"
229,"
The bag was not up the expectation for sure ... The colour of the bag was bit dull and in 2 weeks some of the stitches were already of ... The bag is not very catchy and started looking dirty after 4 days
"
230,"
Big bag. Comfortable too. Comes with a free pouch and rain cover. Cool printing!!
"
231,"
Good quality material and finishing. The bag is very spacious.
"
232,"
The zippers are very good and smooth. The big quality is also decent and satisfactory. The bag is spacious and suitable for Primary and upper Primary school children in India. Go for it without any second thought.
"
233,"
The color, quality, material is awesome. Got a pouch with this. Waterproof also
"
234,"
Material used at the bottom of the bag is very bad, 2 nd class kid used this bag with minimum weight of the books, but it got teared in just 2 months, cloth used inside of the pocket also very flimsy. Waste of money.
"
235,"
This is the most awesome bag one can buy for a kid. It is light, cool and useful. My kid totally loved it and so did I..:)
"
236,"
Nice product, totally worth it...
"
237,"
Good for school and built to last. The size is decent and able fill all of my kids books and note book. Rain was a surprise element. Loved it and recommend for all.
"
238,"
Good
"
239,"
The bag was not up the expectation for sure ... The colour of the bag was bit dull and in 2 weeks some of the stitches were already of ... The bag is not very catchy and started looking dirty after 4 days
"
240,"
It is very good for children of 2 to 4th class it has a waterproof cover and it is very spacious it has 6 chains and 1 pouch
"
241,"
My son like this bag
"
242,"
Good One.  Zips were of good quality
"
243,"
Good one
"
244,"
The product is same as described. The cloth material and zip are good quality.
"
245,"
Good product loved it
"
246,"
This bag is a very good product
"
247,"
It's a superb 👌 quality
"
248,"
The quality of bag is very good ,and chain is also good
"
249,"
Best quality
"
250,"
Nice and good quality
"
251,"
I ordered this for my grand daughter ,who is 7 years old . She and all members of my family including her parents like it.
"
252,"
Stylish. Light weight. Comfortable. I bought it for my 6yrs old son. He uses it with ease. Even while travelling I use it. It has so many pockets that keeping different things in places makes it easy. I have become a fan of it. Would recommend it to everyone.
"
253,"
Awesome bag.Amazing quality.Go for it.
"
254,"
Quality 💯
"
255,"
It's just awesome
"
256,"
Good quality for price
"
257,"
It is a great bag for 7 year old daughter. Good quality and looks sturdy. Go for it!
"
258,"
Bekar
"
259,"
Spacious. Rain cover good
"
260,"
Just like the pic. My daughter loved this.
"
261,"
nice quality, good size for middle school kids, nice color.  with bag cover n pencils pouch.my kid very happy .
"
262,"
I bought this bag for my son. I was little confused because this was my first purchase of this seller. The bag quality is awesome. There are so many zipped compartments that you can keep all the things separately. My son loved the rain cover which is there in the bag. All in all it is a fantastic bag. The size is also perfect for kids of grade 2 and above. Complete value for money.
"
263,"
But too big for a 6 year old kid…nice deign and material
"
264,"
Overall its good product considering the cost. I'm expecting like, it can withstand 1 year at least for my son. This is sufficient for his class 3. If it would have been bit lesser price, would have reached the 5* for sure.
"
265,"
The bag is of good quality. Very spacious and my kid loves it. The best is it has a rain cover and easy to carry.
"
266,"
Quality and space
"
267,"
Good product
"
268,"
சூப்பர்
"
269,"
Has sufficient compartment and storage space.
"
270,"
The bag looks good.But I had ordered for 2 bags and received only one. This is frustrating and now I have placed order for another. Don't know when I will get my money back.
"
271,"
Good product 👍
"
272,"
Very nice bag…worth buying
"
273,"
1) Size is perfect for kids going to school.2) Very very spacious.3) Have three big pockets, a rain cover, a pencil box cover.4) value for money
"
274,"
Product is fine but a quite heavy...
"
275,"
Very nice
"
276,"
Awesome product with a rain cover inside.Good quality and spacious too.
"
277,"
Made of poor quality.
"
278,
279,"
The kid is amazed after looking this bag. It has 7 zips and surprisingly with extra rain protect cover.
"
280,"
Superb quality I like it
"
281,"
i m giving my review after 1 month of use approx. it's good n exactly what i wanted for my kid in class 3. it has many compartments so as to arrange tiffin, books, punch sheets, swimming dress n towel and yet a lot of space left.. worth buying..
"
282,"
Awesome bag look quality space comfort everything is too good..... If any one wants to buy just go for it without a doubt.... About price concern worth it bcoz of all the above mentioned
"
283,"
My daughter loves it and it has lots of zips and rain cover too. Very big and yet handy for 8yr old kid
"
284,"
Though the design is exactly the same, but the fabric is very thin and is of poor quality. The bag won’t last long.
"
285,"
very good quality product
"
286,"
Good bag can be use till 10th std...good colours and design.
"
287,"
I have gifted and kids loved it. I didn't see it personally.
"
288,"
Very poor in all aspects, returned this product
"
289,"
Zips are not good. not worth for the money what we paid. we could get best bags for the price of this bag
"
290,"
my daughter is using it as a school bag...lovely texture n finishing as fabric n stitch is concerned...spacious with more than 3 compartments
"
291,"
A very good product. please go ahead without any second thought
"
292,"
Worth it to buy
"
293,"
The quantity of the product is very good. Colour is as shown in the pictures. Quality of zips are also good. The rain cover is plus.
"
294,"
Didn't recieve rain cover
"
295,"
For school bag
"
296,"
The bag was great and the stitches were amazing,also the bag had 7 zips and a rain protect cover. So i gave you 5 stars.
"
297,
298,"
Bag is really of good quality... Liked it
"
299,"
Quality is very bad....not worth it...price
"
300,"
Nice product
"
301,"
Excellent
"
302,"
Super bag go for it .
"
303,
304,"
Very nice bag. Good Quality 💯
"
305,"
Please don't buy this product. Quality is very very poor. Within one month of use stitches started opening up, have wasted my money.
"
306,"
The bag did not last even a week of use. It developed a tear without apparent reason.
"
307,"
Product was ok, not up to my expectations. so decided to return. Only to know that my return request was cancelled. And now it’s sitting on my desk like a waste of money
"
308,"
Quality issue product started rupturing very soon
"
309,"
Very very bad product dont buy
"
310,"
I didn't like this bag
"
311,"
Waste of money
"
312,"
Not money wise product
"
313,"
Worst product
"
314,"
Too shorts for 9th 10th boys
"
315,"
Good bag worth of money and it has a rain cover good for highschool student It has so many zipped compartment definitely suggest to buy it
"
316,"
Always received amazing products on Amazon
"
317,"
This bag is very nice for girls. This bag quality is so much good.
"
318,"
the design is colourful and suitable for children. It is spacious and pretty sturdy. If only the material was a little thicker and strong we would love to give it a 5 star. However it is a good bag for daily use and has many pockets and padded strap that makes carrying comfortable. The checks look great.
"
319,"




                    The media could not be loaded.
                



I like it's quality and I will use it for my school books note books...
"
320,
321,"
Very poor stritchings
"
322,"
Good product bag is also good but it is little small so if you want to adjust more stuff it is not possible
"
323,"
Have enough space and thepattern is same as shown in th photo
"
324,"




                    The media could not be loaded.
                



very good backpack with 3 compartments, the material and the quality is also good but the size is medium, overall it's really sweet 💜
"
325,"
Gd product
"
326,"
Very nice good quality
"
327,"
This bag is very nice for girls. This bag quality is so much good.
"
328,"
the design is colourful and suitable for children. It is spacious and pretty sturdy. If only the material was a little thicker and strong we would love to give it a 5 star. However it is a good bag for daily use and has many pockets and padded strap that makes carrying comfortable. The checks look great.
"
329,"




                    The media could not be loaded.
                



I like it's quality and I will use it for my school books note books...
"
330,
331,"
Very poor stritchings
"
332,"
Good product bag is also good but it is little small so if you want to adjust more stuff it is not possible
"
333,"
Have enough space and thepattern is same as shown in th photo
"
334,"




                    The media could not be loaded.
                



very good backpack with 3 compartments, the material and the quality is also good but the size is medium, overall it's really sweet 💜
"
335,"
Gd product
"
336,"
Very nice good quality
"
337,"
Nice design but suggest to be little more sturdy
"
338,"
It's a good looking, good quality bag....but I expected a little bigger one... this is more suitable for KG school kids
"
339,"
It's good productValue for moneyLooks beautifulMaterial is goodSize is perfect
"
340,"
Good
"
341,"
Good
"
342,"
The bag was of nice quality but the colour was different from the photo and if it will be available in a big size for students above 13 it will be great and you can improve the quality otherwise it is a great
"
343,"
Good bag ,nice quality
"
344,"
My daughter loved it.
"
345,"
I really like this bag ....my daughter was so happy when she see this bag
"
346,"
Receipt as expected. Looking nice.
"
347,"
Good one
"
348,"
It was really a nice product 👌 😌 I really loved it ❤️ 😍 But the only disadvantage was that it size is little bit small otherwise it's excellent 🌸☺️
"
349,"
No doubt bag is very nice. Color is unique and attractive. Good for 3rd to 7-8 standard kid. I don't take any Water resistant test yet. Go for it.
"
350,"
The bag itself is good it's just that it gets dirty very soon and it can't hold mang books
"
351,"
Ok ok
"
352,"
The bag is realllllly small as it was delivered I was shocked to see the size of the bag.. But anyways the design is really cool ans can be used as a picnic bag hence did not return.. But it's not a good choice for School Student if you have less stuff to keep in your bag..you can go ahead with this purchase
"
353,"
Very nice
"
354,"
Bag size not as expected but quality was Good
"
355,
356,"
Quality is great, size is ok according to a backpack but if you are looking for school bags type then size is a bit small than usual if feel
"
357,"




                    The media could not be loaded.
                



Good quality but size is medium
"
358,"
I liked the colour of the bag. Super cool bag.🥰🥰
"
359,"
The bag was a great buy as it helps me get all my school stuff organised and it has net compartments for other smaller stuff like my pen pouch and colour box with my water bottle qnd tiffin also that comes in. I recently washed it and the oil stains on it also easily came off from my tiffin that leaked accidentally.
"
360,
361,"
It's very helping to me
"
362,"
Good
"
363,"
Overall,the bag is nice but it is so small.
"
364,"
Good product.. quality is fine...doesn't seem to be very durable, as in, can be for a year. Good for class 3rd - 4th kids not for higher classes.
"
365,
366,"
Good product...
"
367,"
I like the bag and it's quality. But the size is little small .that is the only thing I didn't give 5 star.
"
368,"
Love it
"
369,"
The bag has a good quality but it absorbs water overall it's trendy and good for school or college but the width is less
"
370,"
Water resistant 🙌good quality 😀Not bad 💯 stitching superb quality 😎
"
371,"
Received exactly what I expected and is very cute
"
372,"
👌
"
373,"
The quantity and look & feel of the product is very good.But it was smaller then we anticipated and hence returned it.
"
374,"
2 of its zips fell apart as soon as we started using it. School worksheets don’t fit completely. It looks good, kids love it.
"
375,"
Good QualitySide pocket / water bottle holder depth is not sufficient.Bottle easily falls down.
"
376,"
I didn't like the size it was really small
"
377,"




                    The media could not be loaded.
                



This a nice and fabulous bag it looks small in front but inside the bag isvery spacious it fits 20 or more books inside 💕
"
378,"
Worth cost and very easy to handle.has a lot of space got the same one from the picture
"
379,"
good if u r looking for a small size bag
"
380,"




                    The media could not be loaded.
                



स्कूल के लिए
"
381,"
Bags look very preety but quality is not upto mark and size is little bit
"
382,"
Good quality
"
383,"
I like that it's cute and has space but I don't feel it's big enough for a 5th grade.
"
384,"
Size is perfect and has a good quality but price is little high.
"
385,"
Product is good ...but doesn't seem to durable ....and size is little bit small...
"
386,"
I like it and length or the colour is superbAnd the quality of fabric is also 👍 but I amnot satisfied with the size
"
387,"
Nice bag good quality and good looking spacious
"
388,"
Good quality,nice material,light weight.use ful for children till 3rd standard
"
389,"
I love this bag.. It's for 5th to 9th class..the  quality is v good. The color is bright and clear. Stitching is Also good. No complaints Go for it ❤❤ it can carry alot of weight tbh
"
390,"
It's good
"
391,"
college diploma 1 st year student girl kecliye perfect hai.
"
392,"
The picture is more bright than the actual product. However the quality of the bag is good.
"
393,"
👍
"
394,"
You wont get same as in image as image is filtered and brighter. My 7 yr daughter in class 2 is using it &it wont last her even a year. Handels for back are not nicely stiched CHAIN STICHING NOT GOOD. I got it stiched again once thats why it worked for 6 mths.उपर से खर्च करणा पडा तब टिकेगा
"
395,"
This was amazing means amazing.  It have a great color combination and this bag is very light weight..
"
396,"
This bag is not for higher classes.... but perfect for class 2- 4. Its a medium size bag...
"
397,"
Ok not bad
"
398,"
it is so much costly but the but is the best
"
399,"
Very nice
"
400,"
Stitching quality needs significant improvement. Strap gave away after few days of use. Looks good though.
"
401,"
The bag is really big and good, you can got a lot of books, it is light weight, but the problem is, it's not water resistant, my books often get wet when it rains, so suggest you to think before buying.
"
402,"
Quality of the material is fine but there are less compartments and the available ones are not easily accesible
"
403,"
Super Quality. Worth for a Money
"
404,"
The look is great, but the size of the pockets are small, not a large space, has only one side pocket
"
405,
406,"




                    The media could not be loaded.
                



The Color and quality of this bag is superb..it's so spacious..My daughter is very happy to get it.
"
407,"
it's a very good bad with lot of space and easy to carry. Using it from more than year and still in good condition because of it's quality.
"
408,"
This product is really good 💯 and comfortable to carry ,every thing is good in every inch 👍 in this bag .I am still using it 💯
"
409,"
I felt so lucky that I get this bag at a reasonable price with awesome quality. I ordered this bag for my sister’s birthday and she loves it. Now I just order this product again for myself too😍
"
410,"
Very good quality since last three years my daughter is using no issue as such
"
411,"
Small for 12th students, but yau cam adjust✨️
"
412,"
Good bag..
"
413,"
I love it
"
414,"
Nice to use for college students
"
415,"
We got this product from Amazon..This bag is so cool.. big enough for all things...It's perfect for school...Got enough room for big notes A4 sheet size ...
"
416,"
It is really good 👍 but small and not the same as shown in the picture [It is not holographic]
"
417,"
Product good and my kid like so much thank you seller recommend 👍👍
"
418,"
Beautiful 😍
"
419,"
Not a good material and does not look like the photo
"
420,"
Good quality 👍
"
421,"
I ordered it for my daughter who is on 4 class and its perfect for her. Good quality and perfect working zips
"
422,"
Very spacious bag looks good just the way it looks on the picture
"
423,"
Best ever purchase
"
424,"
I received this product from amazon it's okay could have been better Fabric quarter
"
425,"
Trust me it's not worth the price. It's a very light bag. Probably suitable for someone who doesn't carry a lot of books (basically not ideal for students). Apart from that, there were threads coming out so the quality wasn't up to the mark. It looked good but I still returned it because it didn't serve the purpose anyhow.
"
426,"
Color not as bright as in photo
"
427,"
I recently purchased this college bag, and I couldn't be happier with my purchase! This bag has exceeded my expectations in every way.Firstly, the design is sleek and stylish, making it the perfect accessory for any college student. The color options are trendy, and the overall look is very modern.Secondly, the durability of this bag is impressive. It can carry all my textbooks, notebooks, and even my laptop without any strain. The zippers and stitching are of high quality, assuring me that this bag will last throughout my college years.Thirdly, the organization is fantastic. There are plenty of pockets and compartments to keep everything in its place. It's so easy to find what I need without rummaging through a mess.Fourthly, the comfort factor is not to be overlooked. The padded shoulder straps make carrying heavy loads a breeze, and the back panel is well-padded for extra comfort during long days on campus.Lastly, the price point is very reasonable for the quality you receive. I can confidently say that this college bag is worth every penny.Overall, I highly recommend this college bag to any student. It's stylish, durable, well-organized, comfortable, and reasonably priced. It has made my college life so much easier, and I couldn't be more satisfied with my purchase! 5 stars without a doubt!
"
428,"
Good Value for money considering it's larges storage space. Material is good n good stitching.
"
429,"
Best quality and comfortable..i returned branded bag as it was not up to that mark ..this product meets all the requirements..Best in class product
"
430,"
The quality is worst and when you try to return it , they don’t want to take it back , the customer service was useless. 0 stars
"
431,"
It’s actually good material and u can definitely go for it..
"
432,"
Product is good
"
